Percentile,Israel_Std_Income_ILS,US_Std_Income_USD,Israel_Income_ILS,US_Income_USD
1,15877.16368,0,19836,0
2,22488,0,29592,0
3,26063.90055,1000,36852,1500
4,30068.40202,3535.533906,41724,5000
5,33216,5773.502692,44712,8900
6,35230.88827,7500,47076,10800
7,37700,9192.388155,50640,12960
8,40491.76272,10606.60172,54900,15000
9,42432,12000,58896,17200
10,44556,13452.18495,61644,19500
11,46084.19995,14778.53173,65880,21000
12,48408,16099.68944,70392,23000
13,50409.6067,17400,73500,25000
14,52091.14236,18600,77220,26500
15,54093.66876,20000,79956,28500
16,55152,21140,83796,30000
17,57122.91421,22300,86352,31500
18,59244,23440.42093,89832,33200
19,60781.63848,24748.73734,93804,35000
20,62837.08788,25738.68684,97488,36300
21,64644,27000,100080,38000
22,66278.53281,28284.27125,104148,40000
23,67999.72162,29203.51006,106872,41000
24,70422.83011,30237.15784,109680,42700
25,72330.53808,31550,113304,44510
26,74448,32600,116736,46000
27,76443.8999,33941.1255,118836,47800
28,77798.69527,35000,120780,49400
29,80177.42371,36000,124020,50000
30,81845.45454,37264.52737,126840,52000
31,83796,38500,130140,53700
32,85416,39775.63094,132888,55000
33,87480,40696.43719,137220,57000
34,89496,42000,141660,58700
35,91759.83278,43000,145728,60000
36,93660,44400,148332,61200
37,95400,45500,152844,63000
38,97607.0505,46669.04756,155820,65000
39,99720,48000,159492,66220
40,102048,49497.47468,162852,68000
41,103639.2267,50204.58146,165912,70000
42,105900,51618.79503,169068,71100
43,108212.7934,53000.75471,172860,73000
44,109935.3055,54300,175992,75000
45,111672,55507.88232,180024,76300
46,114780.4011,56796.12663,182748,78100
47,117240,58050,186708,80000
48,119112,59871.22291,189648,81300
49,119823.2749,60811.18318,193236,83200
50,121932,62300,197664,85000
51,124068,63639.61031,202464,87000
52,126490.0894,65053.82387,208188,89100
53,127958.0431,66900,212472,90500
54,129903.8106,68400,216768,92700
55,132098.8604,70000,220560,95000
56,134184,71106.96168,226800,96800
57,136560,72902.70914,231768,99000
58,139707.2181,74800,236076,100000
59,143436,76210.23553,240192,102000
60,146286.2509,78000,246120,104800
61,148176,80000,251076,106800
62,150750.7741,81458.70119,256524,109100
63,153999.3717,83628.94236,260976,111000
64,157134,85135.65645,267048,113830
65,160630.3919,87398.39815,274260,116000
66,163242.3245,89600,279564,119000
67,166308,91570.32816,286860,120800
68,169714.1128,93691.64851,292428,123900
69,173424,96000,299556,126000
70,177295.1467,98600,305052,129500
71,181642.0628,100409.1629,312168,132000
72,183867.5621,103000,319956,135000
73,187536,105800,326664,138100
74,190723.6694,108500,333684,141000
75,196243.3202,111100,340896,145000
76,199684.1266,114315.3533,351192,148700
77,203633.7493,117379.7257,358752,151300
78,208152,120262.0611,367848,155100
79,213769.7107,124010,376452,160000
80,218327.9198,127703.4847,391056,164000
81,224411.4308,131521.8613,403212,168400
82,229543.8317,135774.0476,412236,173000
83,236569.6447,140025,420312,178400
84,243312,145000,433668,183600
85,251334.0343,150000,445860,190000
86,260086.8209,155563.4919,459444,196000
87,267939.885,161700,475176,202000
88,279978,168998.5207,488364,210000
89,288576,176200,506976,219050
90,297849.6212,184554.8699,534936,229000
91,307770,194454.3648,558672,240000
92,322260,205000,583932,252000
93,335117.7026,219000,611580,268870
94,355992,235000,644004,289500
95,390976.3099,255654.124,689196,315000
96,421164,285000,744312,352000
97,459294,326200,829056,410600
98,515430,394849.8491,946152,505030
99,708576,519723.4842,1139976,635100
